StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.2_1,Q2.4_First Click,Q2.4_Last Click,Q2.4_Page Submit,Q2.4_Click Count,Q2.3_1,Q2.6_First Click,Q2.6_Last Click,Q2.6_Page Submit,Q2.6_Click Count,Q2.5_1,Q2.8_First Click,Q2.8_Last Click,Q2.8_Page Submit,Q2.8_Click Count,Q2.7_1,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q3.1_1,Q3.4_First Click,Q3.4_Last Click,Q3.4_Page Submit,Q3.4_Click Count,Q3.3_1,Q3.6_First Click,Q3.6_Last Click,Q3.6_Page Submit,Q3.6_Click Count,Q3.5_1,Q3.8_First Click,Q3.8_Last Click,Q3.8_Page Submit,Q3.8_Click Count,Q3.7_1,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q4.11,Q4.12,Q4.13,Q4.14,Q4.15,Q4.16,mTurkCode,Q6 - Topics
2018-04-09 03:46:36,2018-04-09 03:50:44,IP Address,66.8.236.90,100,247,True,2018-04-09 03:50:44,R_3NINQd2HU1pOuVW,,,,,21.298294067383,-157.79190063477,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,14.275,14.275,41.802,1,40,11.854,13.111,42.852,2,30,19.357,41.334,41.656,3,40,8.059,11.233,72.454,5,71,Male,35 - 44,Some college,Unemployed looking for work,Never married,96816,Suburban,Yes,Left/Democrat,Asian,"$10,000 - $19,999",No,Daily,Daily,Daily,Parents,8821881,
2018-04-09 03:46:52,2018-04-09 03:50:53,IP Address,73.202.200.119,100,241,True,2018-04-09 03:50:54,R_3GlCHFg17Ha9fAn,,,,,37.952896118164,-122.02249908447,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,4.758,40.054,41.032,13,30,8.794,8.794,44.436,1,20,3.794,5.284,42.994,2,15,4.02,4.02,46.544,1,90,Male,35 - 44,2 year degree,Employed full time,Never married,94563,Suburban,No,Middle/Independent,White,"$70,000 - $79,999",No,Daily,Daily,Daily,Self/Spouse,7198371,
2018-04-09 03:46:14,2018-04-09 03:51:20,IP Address,73.27.179.20,100,305,True,2018-04-09 03:51:21,R_2WMtjZDYPAelJku,,,,,27.325500488281,-82.47339630127,anonymous,EN,Yes,41.399,43.385,44.823,3,61,56.252,56.252,57.289,1,73,58.757,58.757,59.887,1,38,45.187,46.135,47.411,2,61,,,,,,,,,,,,,,,,,,,,,Female,55 - 64,Some college,Unemployed looking for work,Divorced,34237,Urban,Yes,Middle/Independent,White,"Less than $10,000",No,I do not have a mobile phone,Daily,I am currently not working,Other,3359779,
2018-04-09 03:43:02,2018-04-09 03:51:53,IP Address,174.223.4.115,100,530,True,2018-04-09 03:51:54,R_3MlibXudiZntyTm,,,,,32.907897949219,-85.434303283691,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,0.391,42.419,43.343,39,48,0.208,1.041,139.278,3,75,3.12,4.037,49.467,4,80,2.373,3.203,209.449,3,80,Female,18 - 24,High school graduate,Employed part time,Married,30286,Suburban,Yes,Middle/Independent,White,"$40,000 - $49,999",,Weekly,Monthly,Monthly,School,4623494,
2018-04-09 03:44:25,2018-04-09 03:51:56,IP Address,99.203.21.165,100,451,True,2018-04-09 03:51:57,R_3Oi9chEIgil0sXL,,,,,36.195693969727,-80.527496337891,anonymous,EN,Yes,2.296,207.468,212.356,27,42,3.326,54.52,55.61,12,39,4.106,33.714,43.302,6,88,4.282,49.004,54.902,8,66,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,4 year degree,Employed full time,Never married,27705,Suburban,Yes,Left/Democrat,Other,"$50,000 - $59,999",No,Daily,Daily,Daily,Self/Spouse,5016464,
2018-04-09 03:46:30,2018-04-09 03:51:58,IP Address,66.133.78.102,100,328,True,2018-04-09 03:51:59,R_8ksApeb91ye4ks9,,,,,47.489105224609,-122.29080200195,anonymous,EN,Yes,5.649,80.089,81.705,8,9,30.573,53.19,54.041,9,5,13.065,40.856,41.684,9,10,7.152,33.323,41.486,6,76,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,High school graduate,Disabled,Never married,98144,Urban,Yes,Left/Democrat,Black or African American,"Less than $10,000",No,Daily,Daily,I am currently not working,Parents,6627359,
2018-04-09 03:46:29,2018-04-09 03:52:02,IP Address,216.244.82.210,100,332,True,2018-04-09 03:52:03,R_4U5sqd8XIgLEno5,,,,,47.489105224609,-122.29080200195,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,24.266,39.836,41.659,3,65,32.266,32.266,41.172,1,29,3.386,3.386,41.651,1,10,7.669,7.669,134.899,1,81,Male,25 - 34,4 year degree,Employed full time,Married,28443,Suburban,No,Middle/Independent,White,"$20,000 - $29,999",Yes,Daily,Daily,Daily,Self/Spouse,3284766,
2018-04-09 03:43:58,2018-04-09 03:52:21,IP Address,107.175.49.177,100,502,True,2018-04-09 03:52:22,R_1PT8vOvIaIBFv4O,,,,,34.049392700195,-118.26409912109,anonymous,EN,Yes,8.411,30.046,89.816,3,92,7.57,9.59,42.718,3,90,6.983,6.983,96.632,1,88,7.99,7.99,149.198,1,93,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,4 year degree,Employed full time,Married,new york,Urban,Yes,Left/Democrat,White,"$80,000 - $89,999",Yes,Daily,Daily,Daily,Work,7915294,
2018-04-09 03:48:49,2018-04-09 03:52:40,IP Address,174.63.169.42,100,230,True,2018-04-09 03:52:40,R_3nMi4sycZTqpCWl,,,,,28.940002441406,-81.989700317383,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,17.241,25.944,41.925,4,0,19.336,24.502,41.061,2,30,23.276,23.276,40.961,1,0,32,32,41.128,1,23,Male,25 - 34,High school graduate,Employed part time,Never married,32162,Suburban,Yes,Middle/Independent,White,"Less than $10,000",No,I do not have a mobile phone,Daily,Daily,Parents,5804385,
2018-04-09 03:47:48,2018-04-09 03:52:45,IP Address,71.112.131.35,100,297,True,2018-04-09 03:52:46,R_1Q0lX5k9XAmwlrZ,,,,,40.337707519531,-79.842796325684,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,8.693,61.563,62.609,6,70,51.227,51.227,54.21,1,15,37.105,37.105,42.07,1,5,57.315,57.315,58.27,1,90,Female,45 - 54,Some college,Unemployed not looking for work,Married,15301,Suburban,Yes,Right/Republican,White,"$40,000 - $49,999",Yes,Daily,Daily,I am currently not working,Self/Spouse,4452379,
2018-04-09 03:49:13,2018-04-09 03:52:51,IP Address,66.31.67.246,100,217,True,2018-04-09 03:52:51,R_3kcuwDI6Q0fqRcl,,,,,42.772598266602,-71.509201049805,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,17.826,38.91,41.527,5,75,11.152,14.648,40.977,2,50,17.674,40.88,41.227,3,67,4.647,5.55,40.799,2,70,Male,25 - 34,4 year degree,Employed full time,Married,03060,Rural,Yes,Left/Democrat,White,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,7785229,
2018-04-09 03:43:04,2018-04-09 03:53:08,IP Address,50.29.234.150,100,603,True,2018-04-09 03:53:08,R_3ESTpNnNBTdruzm,,,,,40.801605224609,-76.435401916504,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,6.098,145.631,146.631,10,50,3.045,43.653,48.653,9,39,3.086,67.496,68.404,7,8,1.534,47.905,50.823,10,92,Female,35 - 44,Some college,Employed full time,Married,17872,Suburban,Yes,Left/Democrat,White,"$40,000 - $49,999",Yes,Monthly,Daily,Daily,Self/Spouse,7286903,
2018-04-09 03:49:50,2018-04-09 03:54:04,IP Address,78.60.235.250,100,254,True,2018-04-09 03:54:04,R_1qaYnNMBIgPi59r,,,,,54.683303833008,25.316696166992,anonymous,EN,Yes,5.493,25.571,42.69,10,65,9.682,22.132,41.958,3,20,17.555,17.555,41.707,1,30,12.58,12.58,61.255,1,75,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,4 year degree,Employed full time,Married,12953,Urban,Yes,Middle/Independent,White,"$30,000 - $39,999",Yes,Daily,Daily,Daily,Self/Spouse,886279,
2018-04-09 03:49:59,2018-04-09 03:54:06,IP Address,73.7.100.97,100,246,True,2018-04-09 03:54:06,R_3nJjvvCFgiNRfRd,,,,,33.918792724609,-84.067802429199,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,1.214,22.465,42.378,7,3,0.594,15.779,41.975,7,30,1.139,19.156,41.745,6,1,0.921,41.826,42.435,7,93,Male,35 - 44,Some college,,Never married,30044,Suburban,Yes,Left/Democrat,White,"$30,000 - $39,999",No,Never,Daily,Daily,Self/Spouse,7819045,
2018-04-09 03:49:17,2018-04-09 03:54:07,IP Address,71.84.83.239,100,290,True,2018-04-09 03:54:08,R_3oZ30yxbp7Yp1nU,,,,,34.171798706055,-118.29150390625,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,39.919,39.919,42.556,1,29,52.834,55.895,56.666,3,40,40.95,41.728,43.07,2,93,67.374,68.039,69.765,2,71,Male,55 - 64,4 year degree,Retired,Never married,91501,Suburban,Yes,Middle/Independent,White,"$40,000 - $49,999",No,Daily,Daily,I am currently not working,Self/Spouse,3102290,
2018-04-09 03:49:40,2018-04-09 03:54:16,IP Address,169.233.8.64,100,276,True,2018-04-09 03:54:17,R_3dS2AcA1RRwDJzR,,,,,36.989898681641,-122.06030273438,anonymous,EN,Yes,0.348,32.356,49.85,15,20,2.914,56.272,57.392,6,60,2.229,19.266,42.175,2,30,4.092,16.853,55.401,5,62,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,High school graduate,Student,Never married,94605,Urban,Yes,Left/Democrat,Asian,"$50,000 - $59,999",No,Daily,Daily,I am currently not working,School,2660245,
2018-04-09 03:49:17,2018-04-09 03:54:40,IP Address,73.106.73.85,100,323,True,2018-04-09 03:54:41,R_3luI9EG9KpHFX8Z,,,,,33.933502197266,-84.397201538086,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,13.388,31.007,57.98,2,35,51.937,51.937,54.704,1,30,28.921,28.921,42.564,1,25,34.851,34.851,44.611,1,40,Female,55 - 64,Professional degree,Employed part time,Divorced,30030,Urban,Yes,Left/Democrat,White,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,5436250,
2018-04-09 03:51:19,2018-04-09 03:55:57,IP Address,70.173.171.207,100,278,True,2018-04-09 03:55:57,R_3qJ2Q3EkL0HMrov,,,,,36.171997070312,-115.2093963623,anonymous,EN,Yes,45.026,45.026,46.181,1,40,6.062,42.427,42.991,5,10,5.384,5.384,41.47,1,20,42.348,45.504,47.186,2,25,,,,,,,,,,,,,,,,,,,,,Male,45 - 54,4 year degree,Unemployed looking for work,Married,98030,Suburban,Yes,Left/Democrat,White,"$60,000 - $69,999",No,Daily,Daily,Daily,Self/Spouse,868778,
2018-04-09 03:53:14,2018-04-09 03:57:27,IP Address,69.246.165.91,100,253,True,2018-04-09 03:57:27,R_28U73qNFxv87quR,,,,,30.175506591797,-84.338600158691,anonymous,EN,Yes,39.752,39.752,41.206,1,85,32.953,40.102,41.173,2,75,35.85,38.961,41.471,2,60,27.222,27.222,41.138,1,80,,,,,,,,,,,,,,,,,,,,,Male,65 - 74,High school graduate,Retired,Married,32327,Suburban,Yes,Right/Republican,Other,"$10,000 - $19,999",No,Less than once a month,Daily,Never,Self/Spouse,6580564,
2018-04-09 03:53:29,2018-04-09 03:58:06,IP Address,98.118.46.225,100,277,True,2018-04-09 03:58:07,R_1E6TFU4KxuoAKfh,,,,,42.565307617188,-71.174499511719,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,25.946,37.168,41.598,3,40,56.552,56.552,57.68,1,30,9.02,39.54,41.45,6,60,7.108,11.048,52.648,3,25,Male,25 - 34,4 year degree,Employed full time,Never married,01876,Suburban,Yes,Middle/Independent,White,"$50,000 - $59,999",No,Daily,Daily,Daily,Self/Spouse,3847284,
2018-04-09 03:54:09,2018-04-09 03:58:13,IP Address,72.184.249.243,100,243,True,2018-04-09 03:58:13,R_2pWPyD0iz3IlEFc,,,,,27.911193847656,-82.755096435547,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,45.622,45.622,46.734,1,61,44.731,44.731,46.077,1,44,42.083,43.003,44.537,2,69,36.77,40.503,41.242,2,70,Male,25 - 34,2 year degree,Employed full time,Married,33701,Suburban,Yes,Middle/Independent,White,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,1552693,
2018-04-09 03:52:43,2018-04-09 03:58:36,IP Address,128.210.106.178,100,352,True,2018-04-09 03:58:36,R_32W8cfOZ2JM5Gwe,,,,,40.424896240234,-86.916198730469,anonymous,EN,Yes,33.985,33.985,75.363,1,92,38.122,38.122,42.582,1,50,37.546,40.682,46.085,2,70,39.571,39.571,42.226,1,61,,,,,,,,,,,,,,,,,,,,,Male,45 - 54,2 year degree,Employed full time,Married,47906,Suburban,Yes,Middle/Independent,Asian,"$20,000 - $29,999",Yes,Daily,Daily,Daily,Work,1598758,
2018-04-09 03:54:41,2018-04-09 03:58:54,IP Address,73.103.26.20,100,252,True,2018-04-09 03:58:54,R_1pGbpaupmRpA1qr,,,,,40.422393798828,-86.803100585938,anonymous,EN,Yes,40.008,40.542,42.229,2,38,36.328,36.737,42.743,2,31,41.227,41.227,42.864,1,18,57.965,58.463,59.26,2,85,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,Professional degree,Employed part time,Married,47905,Suburban,Yes,Left/Democrat,White,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,8476749,
2018-04-09 03:55:11,2018-04-09 03:59:06,IP Address,98.109.136.245,100,234,True,2018-04-09 03:59:06,R_3jC86gUYKz4MTjb,,,,,40.85969543457,-74.402603149414,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,1.993,39.09,44.037,35,75,1.656,40.379,41.662,6,72,1.359,9.765,41.212,6,80,1.733,10.444,40.977,6,88,Male,45 - 54,4 year degree,Employed full time,Married,07054,Suburban,Yes,Right/Republican,White,"$100,000 - $149,999",Yes,Daily,Daily,Daily,Self/Spouse,8213428,
2018-04-09 03:50:08,2018-04-09 03:59:24,IP Address,38.132.115.209,100,556,True,2018-04-09 03:59:24,R_tWmCv820O56NOg1,,,,,37.751007080078,-97.821998596191,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,272.244,273.1,274.663,2,69,86.241,86.241,87.956,1,39,62.167,63.744,65.457,4,39,29.654,30.9,42.811,2,70,Female,25 - 34,4 year degree,Unemployed not looking for work,Married,89183,Urban,No,Left/Democrat,White,"Less than $10,000",Yes,Daily,Daily,I am currently not working,Self/Spouse,6973752,
2018-04-09 03:44:47,2018-04-09 03:59:28,IP Address,173.239.240.102,100,880,True,2018-04-09 03:59:28,R_wO6UgKAVWdqeIpj,,,,,41.848297119141,-87.651702880859,anonymous,EN,Yes,31.609,41.616,42.44,4,60,25.016,25.016,42.058,1,58,28.469,31.555,166.661,3,52,28.725,29.391,52.482,2,71,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,4 year degree,Employed full time,Never married,54301,Suburban,Rather not say,Right/Republican,White,Rather not say,No,Never,Never,Less than once a month,,3851049,
2018-04-09 03:53:59,2018-04-09 03:59:54,IP Address,107.10.200.168,100,355,True,2018-04-09 03:59:55,R_2xSjMgYXTL3ESN3,,,,,41.481704711914,-81.693397521973,anonymous,EN,Yes,11.817,19.765,84.225,5,40,6.062,6.062,103.394,1,65,12.093,12.093,54.894,1,90,10.288,12.773,66.874,2,55,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,4 year degree,Employed full time,Never married,44106,Urban,Yes,Left/Democrat,White,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,3247084,
2018-04-09 03:55:45,2018-04-09 03:59:54,IP Address,199.59.56.231,100,249,True,2018-04-09 03:59:55,R_r3A7cbaoo73j5n3,,,,,36.155395507812,-95.993896484375,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,6.469,9.597,43.627,3,90,3.096,3.096,41.704,1,77,2.965,3.423,45.693,2,78,2.939,2.939,44.888,1,73,Female,25 - 34,4 year degree,Employed full time,Married,98168,Suburban,Yes,Left/Democrat,White,"$40,000 - $49,999",Yes,Daily,Daily,Daily,Self/Spouse,7901188,
2018-04-09 03:55:05,2018-04-09 04:00:16,IP Address,99.190.112.31,100,311,True,2018-04-09 04:00:17,R_1ePLuHDNYvdv0uI,,,,,34.286804199219,-118.61399841309,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,46.266,73.803,75.277,5,61,8.688,51.094,56.046,4,51,25.277,37.567,41.295,4,30,42.615,42.615,43.402,1,71,Female,65 - 74,Some college,Retired,Never married,91311,Urban,Yes,Left/Democrat,Black or African American,"$30,000 - $39,999",Yes,Less than once a month,Daily,I am currently not working,Self/Spouse,5844032,
2018-04-09 03:57:30,2018-04-09 04:01:18,IP Address,80.103.136.238,100,227,True,2018-04-09 04:01:18,R_5gUoFoSlKyAD0U9,,,,,40.416702270508,-3.6838073730469,anonymous,EN,Yes,11.62,41.038,41.096,8,40,11.449,34.437,42.566,5,30,11.318,29.022,41.076,5,10,8.405,34.125,40.756,7,80,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,Some college,Employed full time,Married,49424,Suburban,Yes,Left/Democrat,White,"$30,000 - $39,999",No,Daily,Daily,Daily,Self/Spouse,1505341,
2018-04-09 03:55:55,2018-04-09 04:01:47,IP Address,174.101.110.149,100,351,True,2018-04-09 04:01:48,R_DNbjyTydBVUXfIR,,,,,39.33349609375,-83.016799926758,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,65.471,65.471,67.036,1,66,62.926,65.575,67.502,2,26,68.064,68.064,70.467,1,36,70.075,70.075,71.435,1,89,Male,18 - 24,High school graduate,Employed part time,Never married,45601,Suburban,Yes,Left/Democrat,White,"Less than $10,000",No,Daily,Daily,Daily,Parents,2109311,
2018-04-09 03:57:34,2018-04-09 04:02:05,IP Address,98.214.27.207,100,270,True,2018-04-09 04:02:06,R_214iCrJEUlqbmLY,,,,,42.323806762695,-89.621803283691,anonymous,EN,Yes,38.206,38.206,41.445,1,74,39.272,39.272,41.073,1,72,27.275,42.084,44.324,2,52,17.431,17.431,41.753,1,82,,,,,,,,,,,,,,,,,,,,,Female,45 - 54,4 year degree,Employed full time,Married,61032,Rural,Yes,Middle/Independent,White,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,6213611,
2018-04-09 03:57:48,2018-04-09 04:02:07,IP Address,73.189.147.24,100,258,True,2018-04-09 04:02:07,R_2uqyLR7ozCt3z0g,,,,,38.631896972656,-122.89709472656,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,4.004,4.004,41.704,1,60,49.307,49.307,50.461,1,39,44.534,56.61,57.685,2,9,26.577,26.577,41.027,1,90,Male,45 - 54,4 year degree,Employed part time,Married,95446,Rural,Yes,Left/Democrat,White,"$10,000 - $19,999",No,Weekly,,Daily,Self/Spouse,728114,
2018-04-09 03:57:40,2018-04-09 04:02:13,IP Address,24.17.31.85,100,273,True,2018-04-09 04:02:14,R_1LtK4FvvCK1N5uj,,,,,47.213195800781,-122.47399902344,anonymous,EN,Yes,10.036,36.601,42.106,6,30,41.249,41.249,41.968,1,15,75.304,75.304,76.014,1,10,14.365,14.365,41.344,1,100,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,High school graduate,Unemployed looking for work,Divorced,98409,Urban,Yes,Middle/Independent,White,"Less than $10,000",No,Daily,Daily,I am currently not working,Self/Spouse,8784866,
2018-04-09 04:02:12,2018-04-09 04:02:22,IP Address,172.58.201.123,100,9,True,2018-04-09 04:02:22,R_3GxoUhMK0QrzyXn,,,,,39.959701538086,-75.196800231934,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09 03:55:25,2018-04-09 04:02:44,IP Address,100.38.158.189,100,439,True,2018-04-09 04:02:45,R_2ScwDO4zFi8mXxy,,,,,40.7626953125,-73.322700500488,anonymous,EN,Yes,12.37,13.986,41.436,2,0,11.316,21.178,62.596,4,20,40.754,41.572,43.522,2,2,192.326,197.58,199.138,6,80,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,4 year degree,Employed full time,Never married,11757,Suburban,Yes,Left/Democrat,White,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,7769155,
2018-04-09 03:55:56,2018-04-09 04:02:57,IP Address,124.121.18.82,100,420,True,2018-04-09 04:02:58,R_0Bya9edIHGbPvhL,,,,,13.699996948242,100.46670532227,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,35.163,129.507,131.329,2,27,5.212,17.812,42.216,5,72,27.27,42.521,43.404,2,60,5.482,6.31,123.498,2,40,Female,35 - 44,4 year degree,Employed full time,Married,46540,Rural,No,Left/Democrat,Asian,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,739458,
2018-04-09 03:58:39,2018-04-09 04:03:04,IP Address,47.210.8.68,100,264,True,2018-04-09 04:03:05,R_sb7GUdCLpL40VCF,,,,,32.56950378418,-93.69229888916,anonymous,EN,Yes,21.167,37.862,41.324,5,81,22.554,22.554,41.36,1,44,16.359,37.595,41.77,2,30,18.918,41.198,41.794,2,60,,,,,,,,,,,,,,,,,,,,,Female,45 - 54,Some college,Employed full time,Divorced,71112,Urban,Yes,Right/Republican,White,"$30,000 - $39,999",,Daily,Daily,Never,Self/Spouse,8071180,
2018-04-09 03:59:22,2018-04-09 04:04:13,IP Address,24.42.212.63,100,291,True,2018-04-09 04:04:14,R_2rq28E4ZAQFYTzZ,,,,,34.713500976562,-86.74210357666,anonymous,EN,Yes,6.564,42.332,44.107,4,52,4.824,58.447,60.313,6,40,5.955,55.697,57.686,6,25,11.885,43.032,44.732,2,70,,,,,,,,,,,,,,,,,,,,,Female,35 - 44,4 year degree,Employed full time,Married,35824,Suburban,Yes,Middle/Independent,White,"$80,000 - $89,999",Yes,Daily,Daily,Daily,Self/Spouse,6421152,
2018-04-09 03:53:17,2018-04-09 04:04:25,IP Address,66.160.188.62,100,668,True,2018-04-09 04:04:26,R_yO6z7qLL8dm0kAp,,,,,37.751007080078,-97.821998596191,anonymous,EN,Yes,6.275,97.495,99.485,3,50,2.047,19.038,88.15,4,73,48.813,53.198,54.93,2,40,2.62,39.556,41.62,5,60,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,4 year degree,Employed full time,Married,95101,Urban,Yes,Right/Republican,Black or African American,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,9655906,
2018-04-09 04:00:01,2018-04-09 04:04:49,IP Address,205.156.84.229,100,287,True,2018-04-09 04:04:49,R_12ArQCe5IVygShj,,,,,40.731704711914,-73.988502502441,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,87.595,87.595,89.041,1,58,34.128,34.128,44.414,1,65,34.804,34.804,40.976,1,7,30.24,30.24,40.993,1,83,Female,45 - 54,4 year degree,Employed full time,Divorced,02760,Urban,Yes,Right/Republican,White,"$30,000 - $39,999",Yes,Daily,Daily,Daily,Self/Spouse,8320897,
2018-04-09 03:59:02,2018-04-09 04:05:32,IP Address,72.209.183.218,100,390,True,2018-04-09 04:05:33,R_32SmJ69j9MEYrbn,,,,,37.951995849609,-97.977096557617,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,28.541,28.541,45.747,1,71,33.497,196.404,196.844,2,29,13.497,33.557,41.622,3,20,38.468,38.468,40.948,1,100,Female,25 - 34,Some college,Employed full time,Married,67501,Suburban,Yes,Middle/Independent,White,"$30,000 - $39,999",Yes,Daily,Daily,Daily,Self/Spouse,3907057,
2018-04-09 04:02:00,2018-04-09 04:06:29,IP Address,174.97.245.118,100,268,True,2018-04-09 04:06:29,R_1gBj6osIECn70PD,,,,,39.357894897461,-87.424499511719,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,32.358,49.87,50.641,3,59,22.827,58.141,58.512,8,10,24.779,45.353,46.054,5,24,21.696,51.987,52.684,5,75,Male,35 - 44,High school graduate,Employed part time,Never married,47802,Urban,Yes,Left/Democrat,White,"$10,000 - $19,999",No,Daily,Daily,Never,Self/Spouse,7559511,
2018-04-09 03:58:15,2018-04-09 04:06:37,IP Address,68.59.67.243,100,501,True,2018-04-09 04:06:37,R_2zHBSRnhjRs6PDE,,,,,31.261703491211,-85.414199829102,anonymous,EN,Yes,46.916,50.393,51.867,2,75,12.873,40.036,41.625,3,33,11.443,13.87,76.545,4,26,25.163,25.163,83.383,1,65,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,2 year degree,Employed full time,Never married,36301,Urban,Yes,Right/Republican,Asian,"$50,000 - $59,999",Yes,Daily,Daily,Daily,Self/Spouse,7578184,
2018-04-09 04:02:12,2018-04-09 04:06:37,IP Address,71.234.2.53,100,265,True,2018-04-09 04:06:38,R_1obeTUmBlGivpMr,,,,,41.603393554688,-72.776298522949,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,30.999,44.98,46.091,4,80,35.854,40.254,41.286,3,35,13.985,27.608,41.32,5,0,36.031,36.031,51.284,1,65,Female,45 - 54,Some college,Disabled,Divorced,06037,Suburban,Yes,Right/Republican,White,"$50,000 - $59,999",Yes,Daily,Daily,Never,Self/Spouse,829375,
2018-04-09 04:03:00,2018-04-09 04:07:06,IP Address,74.72.128.92,100,246,True,2018-04-09 04:07:07,R_12g6sa1hd2S8NTh,,,,,40.776901245117,-73.981300354004,anonymous,EN,Yes,45.713,45.713,47.065,1,71,57.599,57.599,58.869,1,51,38.952,38.952,40.798,1,30,38.585,38.585,40.836,1,66,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,High school graduate,Employed full time,Married,10023,Urban,Yes,Left/Democrat,White,"$40,000 - $49,999",Yes,Daily,Daily,Daily,Self/Spouse,1132900,
2018-04-09 04:01:50,2018-04-09 04:07:08,IP Address,106.51.27.252,100,317,True,2018-04-09 04:07:08,R_3RdCyfaq8JkZQ1q,,,,,12.983306884766,77.583312988281,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,14.874,45.5,48.802,3,69,4.62,4.62,44.036,1,76,77.626,78.11,80.926,2,63,2.04,2.04,43.98,1,67,Female,35 - 44,4 year degree,Employed full time,Married,95945,Urban,Yes,Left/Democrat,White,"$30,000 - $39,999",,Daily,Daily,Daily,Self/Spouse,5860116,
2018-04-09 04:01:16,2018-04-09 04:07:45,IP Address,73.192.13.217,100,389,True,2018-04-09 04:07:45,R_2E0FPXVu7njc1my,,,,,30.070007324219,-82.72380065918,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,56.844,56.844,60.953,1,75,61.877,61.877,66.122,1,45,45.421,45.421,47.742,1,55,52.557,52.557,61.488,1,90,Female,55 - 64,4 year degree,Employed part time,Never married,32605,Suburban,Yes,Left/Democrat,White,"$10,000 - $19,999",No,Never,Daily,Never,Self/Spouse,144129,
